16/04 14:23:26, SENSOR, TIME (timer): TICK
16/04 14:23:26, SENSOR, TIME (timer): TICK
16/04 14:23:26, SENSOR, TIME (timer): TICK
16/04 14:23:27, SENSOR, ACTIVITY (): STILL
16/04 14:23:31, SENSOR, TIME (timer): TICK
16/04 14:23:31, SENSOR, WIFI (): NOTHING_FOUND

16/04 14:23:41, MODE, changing to WAITING, latestMacAddress: 

16/04 14:23:41, MODE, killing DEFAULT
16/04 14:23:41, SENSOR, ACTIVITY (): STILL
16/04 14:23:42, SENSOR, ACTIVITY (): STILL
16/04 14:24:41, SENSOR, ACTIVITY (): STILL
16/04 14:25:40, SENSOR, ACTIVITY (): STILL
16/04 14:26:39, SENSOR, ACTIVITY (): STILL

16/04 14:27:38, MODE, changing to DEFAULT, latestMacAddress: 

16/04 14:27:38, MODE, killing WAITING
16/04 14:27:38, SENSOR, ACTIVITY (): TILTING
16/04 14:27:38, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:27:38, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:27:42, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:27:43, SENSOR, TIME (timer): TICK
16/04 14:27:48, SENSOR, TIME (timer): TICK
16/04 14:27:55, SENSOR, TIME (timer): TICK
16/04 14:27:58, SENSOR, TIME (timer): TICK
16/04 14:28:03, SENSOR, TIME (timer): TICK
16/04 14:28:03, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:28:11, SENSOR, TIME (timer): TICK
16/04 14:28:13, SENSOR, TIME (timer): TICK
16/04 14:28:20, SENSOR, TIME (timer): TICK
16/04 14:28:23, SENSOR, TIME (timer): TICK
16/04 14:28:31, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:28:31, SENSOR, TIME (timer): TICK
16/04 14:28:34, SENSOR, TIME (timer): TICK
16/04 14:28:38, SENSOR, TIME (timer): TICK
16/04 14:28:51, SENSOR, TIME (timer): TICK
16/04 14:28:51, SENSOR, TIME (timer): TICK
16/04 14:28:53, SENSOR, TIME (timer): TICK
16/04 14:28:57, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:28:58, SENSOR, TIME (timer): TICK
16/04 14:29:03, SENSOR, TIME (timer): TICK
16/04 14:29:10, SENSOR, TIME (timer): TICK
16/04 14:29:13, SENSOR, TIME (timer): TICK
16/04 14:29:21, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:29:21, SENSOR, ACTIVITY (): UNKNOWN
16/04 14:29:21, SENSOR, TIME (timer): TICK
16/04 14:29:23, SENSOR, TIME (timer): TICK
16/04 14:29:42, SENSOR, TIME (timer): TICK
16/04 14:29:42, SENSOR, TIME (timer): TICK
16/04 14:29:42, SENSOR, TIME (timer): TICK
16/04 14:29:43, SENSOR, TIME (timer): TICK
16/04 14:29:48, SENSOR, TIME (timer): TICK
16/04 14:29:50, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:29:54, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:29:54, SENSOR, TIME (timer): TICK
16/04 14:30:03, SENSOR, TIME (timer): TICK
16/04 14:30:03, SENSOR, TIME (timer): TICK

16/04 14:30:04, MODE, changing to MOVING, latestMacAddress: 

16/04 14:30:04, MODE, killing DEFAULT
16/04 14:30:04, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:30:09, SENSOR, ACTIVITY (): ON_FOOT

16/04 14:30:40, MODE, changing to DEFAULT, latestMacAddress: 

16/04 14:30:40, MODE, killing MOVING
16/04 14:30:40, SENSOR, ACTIVITY (): UNKNOWN
16/04 14:30:40, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:30:40, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:30:44, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:30:45, SENSOR, TIME (timer): TICK
16/04 14:30:50, SENSOR, TIME (timer): TICK
16/04 14:30:52, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:30:54, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:30:54, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:30:55, SENSOR, TIME (timer): TICK

16/04 14:30:56, MODE, changing to MOVING, latestMacAddress: 

16/04 14:30:56, MODE, killing DEFAULT
16/04 14:30:56, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:00, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:04, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:09, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:13, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:17, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:22, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:26, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:31, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:35, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:40, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:44, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:48, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:53, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:31:57, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:01, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:06, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:10, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:15, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:19, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:24, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:28, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:33, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:37, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:42, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:46, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:51, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:55, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:32:59, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:04, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:08, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:12, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:17, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:21, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:26, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:30, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:34, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:39, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:52, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:33:56, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:01, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:05, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:09, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:13, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:18, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:22, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:26, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:31, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:36, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:40, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:44, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:48, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:52, SENSOR, ACTIVITY (): ON_FOOT
16/04 14:34:56, SENSOR, ACTIVITY (): ON_FOOT
